,PC1,PC2,PC3,PC4,PC5,PC6
Balance,0.38477256816160577,-0.0561416448789951,-0.11629944497448172,-0.10924907177649275,0.20129105505954556,-0.05212057496743518
Qual_miles,0.11222900641808281,0.2304374510664869,-0.22463146901117903,0.01295283302198334,0.4375864038380597,0.8233470672067881
cc1_miles,0.39671717555107217,-0.3773937121391415,-0.061257453185357205,-0.0008366594822469415,-0.18021029883875492,0.07341833185047761
cc2_miles,0.009856413631015446,0.025375368301170046,0.9009787558892413,-0.26706923358175394,0.2962961582796848,0.08047798272767982
cc3_miles,0.05913397814564822,-0.0751029708289492,0.15566723511267544,0.8997715006884903,0.36271698006928127,-0.15217065561427837
Bonus_miles,0.47675847011255257,-0.24967356737446877,0.08580343602131132,0.03588548277699142,-0.13731632513640843,0.09361128927916285
Bonus_trans,0.4523230261701859,-0.1932116135921012,0.14799280849574628,0.02526366403878884,-0.1604464016905913,0.11731782760092546
Flight_miles_12mo,0.32154561257074854,0.5837251990357047,0.028346603978486942,0.039194817762213105,-0.11715774617447787,-0.1614100866305097
Flight_trans_12,0.3232788858452244,0.5858318531272361,0.029152868324794884,0.03704859993767625,-0.10803898010592547,-0.14946790312248784
Days_since_enroll,0.19641957500685378,-0.10693283569710567,-0.25563673311596624,-0.31960378965974384,0.6679611499213254,-0.46199542283223216
